Epoch,Classical_Loss_Digitized
0,1.5387681159420281
1,1.5352095461905537
2,1.5287342654087204
3,1.522258984626887
4,1.5157837038450537
5,1.50930842306322
6,1.5028331422813865
7,1.4959056514963593
8,1.4877652985134828
9,1.4825691778128998
10,1.478393378187138
11,1.4727197988354361
12,1.465657170578277
13,1.4575168175954012
14,1.455994190269302
15,1.4520032545664645
16,1.444602933672941
17,1.4416297426168447
18,1.4381436270924115
19,1.4314833382882397
20,1.42800059781514
21,1.4252397641557055
22,1.419319507440886
23,1.415532929013024
24,1.4132916657563475
25,1.4081114411308804
26,1.4042267362104972
27,1.40200663994244
28,1.4004290117797695
29,1.397843826625313
30,1.3926636019998466
31,1.390181439245711
32,1.3884650381389465
33,1.385504909781537
34,1.3825447814241274
35,1.3796152785325364
36,1.3781352143538317
37,1.376655150175127
38,1.375175085996422
39,1.371737554544294
40,1.3689615748211506
41,1.368221542731798
42,1.3663822439224047
43,1.3641621476543475
44,1.3619420513862903
45,1.3597219551182331
46,1.3575525262875032
47,1.3568124941981508
48,1.3557285402110189
49,1.3542484760323141
50,1.3534309219305047
51,1.3524498236744935
52,1.3509697594957886
53,1.3494896953170838
54,1.3481478415739174
55,1.3474078094845652
56,1.3462109787805583
57,1.3447662693062714
58,1.3440262372169192
59,1.3431092336857997
60,1.3419991855517712
61,1.3408891374177425
62,1.3399046328599207
63,1.3391646007705682
64,1.338424568681216
65,1.3376845365918635
66,1.336944504502511
67,1.3362044724131588
68,1.3354644403238063
69,1.3347244082344538
70,1.3339843761451016
71,1.333244344055749
72,1.3325043119663966
73,1.332025388015212
74,1.332025388015212
75,1.3316389238036894
76,1.3311455690774545
77,1.3306522143512198
78,1.330158859624985
79,1.3296470393401076
80,1.3289070072507554
81,1.328166975161403
82,1.3274269430720504
83,1.3273794840168565
84,1.3271987312675753
85,1.3267053765413404
86,1.3262120218151054
87,1.3257186670888705
88,1.3252253123626356
89,1.3250565320176788
90,1.3250565320176788
91,1.3250565320176788
92,1.324672526176882
93,1.3239324940875297
94,1.3236608580114524
95,1.323414180648335
96,1.3231675032852175
97,1.3229208259221
98,1.3227335800185012
99,1.3227335800185012
100,1.3227335800185012
101,1.3227335800185012
102,1.3227335800185012
103,1.322470895467467
104,1.3219775407412322
105,1.3214841860149973
106,1.3209908312887622
107,1.3204974765625273
108,1.3204106280193233
109,1.3204106280193233
110,1.3204106280193233
111,1.3204106280193233
112,1.3204106280193233
113,1.3204106280193233
114,1.3204106280193233
115,1.3204106280193233
116,1.3204106280193233
117,1.3204106280193233
118,1.3204106280193233
119,1.3197908477590226
120,1.3192491520197345
121,1.3192491520197345
122,1.3191199208874396
123,1.3189349128651013
124,1.3187499048427633
125,1.318564896820425
126,1.318379888798087
127,1.3181948807757489
128,1.3180876760201456
129,1.3180876760201456
130,1.3180876760201456
131,1.3180876760201456
132,1.3180876760201456
133,1.3180876760201456
134,1.3180876760201456
135,1.3180876760201456
136,1.3180876760201456
137,1.3180876760201456
138,1.3180876760201456
139,1.3180876760201456
140,1.3180876760201456
141,1.3180876760201456
142,1.3180876760201456
143,1.3180876760201456
144,1.3180876760201456
145,1.3180876760201456
146,1.3180876760201456
147,1.3180876760201456
148,1.3180876760201456
149,1.3180876760201456
150,1.3180876760201456
151,1.3180876760201456
152,1.3178710616142912
153,1.3176243842511737
154,1.3173777068880563
155,1.3171310295249385
156,1.3169262000205568
157,1.3169262000205568
158,1.3169262000205568
159,1.3169262000205568
160,1.3169262000205568
161,1.3169262000205568
162,1.3169262000205568
163,1.3169262000205568
164,1.3169262000205568
165,1.3169262000205568
166,1.3169262000205568
167,1.3169262000205568
168,1.3169262000205568
169,1.3169262000205568
170,1.3169262000205568
171,1.3169262000205568
172,1.3169262000205568
173,1.3169262000205568
174,1.3169262000205568
175,1.3169262000205568
176,1.3169262000205568
177,1.3169262000205568
178,1.3169262000205568
179,1.3169262000205568
180,1.3167714754449464
181,1.3165247980818289
182,1.3162781207187113
183,1.316031443355594
