Epoch,Quantum_Loss,Classical_Loss,Quantum_Accuracy_Pct,Classical_Accuracy_Pct,Epoch_Time_s
0,1.6079444963308038,1.5010457258234329,48.199999999999996,56.00000000000001,0.5755160499829799
1,1.6035094763479543,1.4985434506986823,,,0.021172730950638652
2,1.599143023409555,1.4960884939481107,,,0.020645677926950157
3,1.5948446400559533,1.4936801968277327,,,0.02111065504141152
4,1.5906138170255404,1.4913179017348528,,,0.030105244950391352
5,1.586450033587898,1.489000952485595,,,0.028736548963934183
6,1.5823527578865768,1.4867286945862883,,,0.021348922047764063
7,1.5783214472909073,1.4845004754984976,,,0.022821182967163622
8,1.5743555487562675,1.482315644897485,,,0.020892182015813887
9,1.5704544991922065,1.480173554923924,,,0.028486876050010324
10,1.5666177258378222,1.4780735604286843,,,0.030805985908955336
11,1.56284464664374,1.476015019210541,,,0.025296360021457076
12,1.559134670660099,1.4739972922466678,,,0.02919497189577669
13,1.5554871984298497,1.4720197439157938,,,0.030192898004315794
14,1.5519016223867799,1.47008174221392,,,0.0346478670835495
15,1.5483773272575605,1.468182658962509,,,0.02523739298339933
16,1.5449136904671925,1.4663218700090737,,,0.02053301897831261
17,1.541510082547196,1.4644987554201094,,,0.020566442050039768
18,1.5381658675458827,1.4627126996663349,,,0.02069587493315339
19,1.5348804034400816,1.460963091800203,,,0.029054915998131037
20,1.5316530425476627,1.4592493256256847,,,0.020756333018653095
21,1.5284831319402419,1.4575707998603185,,,0.020521898986771703
22,1.5253700138554351,1.4559269182895465,,,0.020523593993857503
23,1.5223130261080589,1.454317089913363,,,0.020975610008463264
24,1.5193115024996606,1.4527407290853205,,,0.02541388396639377
25,1.5163647732258334,1.4511972556439434,,,0.020914808032102883
26,1.5134721652807022,1.4496860950366164,,,0.028688348014838994
27,1.5106330028580666,1.4482066784360224,,,0.02051031996961683
28,1.5078466077486388,1.4467584428492146,,,0.020708209951408207
29,1.5051122997328892,1.445340831219418,,,0.020717817940749228
30,1.5024293969689935,1.4439532925206675,,,0.02886134502477944
31,1.4997972163754043,1.4425952818453909,,,0.02058930799830705
32,1.4972150740076098,1.4412662604850597,,,0.0205484579782933
33,1.4946822854286428,1.4399656960040328,,,0.02044061804190278
34,1.4921981660729453,1.4386930623067327,,,0.020759845967404544
35,1.489762031603206,1.4374478396982866,,,0.029002848081290722
36,1.4873731982598062,1.4362295149387836,,,0.020768426009453833
37,1.485030983202556,1.4350375812912957,,,0.02075642696581781
38,1.4827347048444137,1.4338715385638205,,,0.025090445997193456
39,1.4804836831769,1.4327308931452993,,,0.020621444913558662
40,1.4782772400869486,1.4316151580358771,,,0.022704142960719764
41,1.4761146996649828,1.4305238528715667,,,0.02134569000918418
