Epoch,Quantum_Loss,Classical_Loss,Quantum_Accuracy_Pct,Classical_Accuracy_Pct
0,1.4838437393349646,1.419732205227884,46.6,52.2
1,1.4807200666021438,1.4187302366618046,,
2,1.4776633273489408,1.4177512908002765,,
3,1.4746723472520646,1.4167948798174026,,
4,1.4717459610421464,1.4158605243211344,,
5,1.4688830129427577,1.4149477532946662,,
6,1.4660823570870547,1.414056104033853,,
7,1.463342857912079,1.4131851220809524,,
8,1.4606633905309352,1.4123343611548411,,
9,1.4580428410829582,1.4115033830780104,,
10,1.4554801070620627,1.4106917577005151,,
11,1.4529740976235928,1.409899062821121,,
12,1.450523733869963,1.409124884105803,,
13,1.4481279491153805,1.4083688150038893,,
14,1.445785689130066,1.4076304566619693,,
15,1.4434959123643358,1.406909417835756,,
16,1.4412575901530398,1.4062053148001525,,
17,1.4390697069006917,1.4055177712576177,,
18,1.4369312602478943,1.4048464182450389,,
19,1.4348412612194645,1.4041908940393053,,
