Epoch,Quantum_Loss_PennyLane
0,1.458900662234703
1,1.4562701806143759
2,1.4536990121276143
3,1.4511859906784697
4,1.4487299646303968
5,1.446329797040187
6,1.4439843658680698
7,1.4416925641646718
8,1.4394533002355907
9,1.4372654977842916
10,1.4351280960340997
11,1.4330400498300455
12,1.4310003297212863
13,1.4290079220249319
14,1.4270618288719918
15,1.4251610682362181
16,1.423304673946606
17,1.421491695684304
18,1.419721198964666
19,1.417992265105193
20,1.41630399118007
21,1.4146554899620156
22,1.4130458898521525
23,1.4114743347985432
24,1.4099399842040958
25,1.4084420128244604
26,1.4069796106565615
27,1.405551982818371
28,1.4041583494205174
29,1.4027979454303219
30,1.4014700205287858
31,1.4001738389611145
32,1.3989086793812489
33,1.397673834690941
34,1.3964686118738334
35,1.3952923318250168
36,1.3941443291764997
37,1.3930239521190173
38,1.3919305622205966
39,1.390863534242238
40,1.3898222559511142
41,1.3888061279316184
42,1.387814563394607
43,1.3868469879851486
44,1.3859028395890738
45,1.3849815681386406
46,1.3840826354175544
47,1.3832055148656028
48,1.3823496913831725
49,1.3815146611358329
50,1.3806999313592483
51,1.3799050201645557
52,1.3791294563444745
53,1.3783727791802372
54,1.3776345382495845
55,1.3769142932359117
56,1.3762116137387517
57,1.3755260790856965
58,1.374857278145901
59,1.3742048091452628
60,1.37356827948338
61,1.3729473055524033
62,1.3723415125578429
63,1.3717505343414065
64,1.3711740132059664
65,1.3706115997426798
66,1.3700629526603687
67,1.3695277386171356
68,1.3690056320543476
69,1.3684963150329512
70,1.3679994770721928
71,1.367514814990764
72,1.3670420327503758
73,1.3665808413018223
74,1.3661309584334886
75,1.3656921086223766
76,1.365264022887599
77,1.3648464386463872
78,1.3644390995725886
79,1.3640417554576492
80,1.3636541620740985
81,1.3632760810414997
82,1.3629072796948671
83,1.3625475309555395
84,1.3621966132044905
85,1.3618543101580602
86,1.3615204107460768
87,1.361194708992371
88,1.3608770038976372
89,1.3605670993246335
90,1.3602648038856835
91,1.3599699308324675
92,1.3596822979480576
93,1.3594017274411938
94,1.3591280458427422
95,1.358861083904332
96,1.3586006764991247
97,1.3583466625246936
98,1.3580988848079758
99,1.357857190012275
100,1.357621428546264
101,1.3573914544749852
102,1.357167125432785
103,1.3569483025381666
104,1.3567348503105325
105,1.3565266365887672
106,1.3563235324516474
107,1.3561254121400328
108,1.355932152980805
109,1.3557436353125407
110,1.355559742412854
111,1.3553803604274193
112,1.3552053783005902
113,1.3550346877076405
114,1.3548681829885416
115,1.354705761083291
116,1.354547321468729
117,1.3543927660968322
118,1.354241999334438
119,1.3540949279043903
120,1.3539514608280603
121,1.3538115093692193
122,1.3536749869792408
123,1.3535418092435816
124,1.3534118938295618
125,1.353285160435349
126,1.3531615307401839
127,1.3530409283557823
128,1.3529232787788945
129,1.3528085093450077
130,1.3526965491831617
131,1.3525873291718344
132,1.3524807818959093
133,1.3523768416046615
134,1.3522754441707778
135,1.3521765270503479
136,1.3520800292438377
137,1.3519858912580078
138,1.3518940550687448
139,1.3518044640848155
140,1.351717063112486
141,1.3516317983210127
142,1.3515486172089721
143,1.3514674685714128
144,1.351388302467813
145,1.3513110701908135
146,1.3512357242357371
147,1.3511622182708236
148,1.3510905071082278
149,1.3510205466757057
150,1.3509522939890104
151,1.3508857071249598
152,1.3508207451951688
153,1.3507573683204357
154,1.350695537605744
155,1.3506352151158945
156,1.3505763638517356
157,1.350518947726977
158,1.3504629315455796
159,1.3504082809796996
160,1.3503549625481854
161,1.350302943595596
162,1.3502521922717539
163,1.3502026775117857
164,1.3501543690166713
165,1.3501072372342708
166,1.3500612533408138
167,1.350016389222864
168,1.3499726174597173
169,1.3499299113062406
170,1.3498882446761353
171,1.3498475921256208
172,1.3498079288375182
173,1.3497692306057334
174,1.3497314738201136
175,1.3496946354517037
176,1.3496586930383423
177,1.3496236246706315
178,1.3495894089782565
179,1.349556025116629
180,1.3495234527538869
181,1.349491672058195
182,1.3494606636853694
183,1.3494304087668203
184,1.3494008888977729
185,1.3493720861257987
186,1.3493439829396288
187,1.3493165622582357
188,1.3492898074202
189,1.3492637021733311
190,1.349238230664549
191,1.3492133774300248
192,1.349189127385551
193,1.3491654658171663
194,1.3491423783720076
195,1.3491198510493851
196,1.3490978701920842
197,1.3490764224778893
198,1.3490554949113005
199,1.3490350748154742
200,1.3490151498243597
201,1.3489957078750163
202,1.3489767372001529
203,1.348958226320812
204,1.3489401640392735
205,1.34892253943211
206,1.3489053418434243
207,1.3488885608782533
208,1.3488721863961364
209,1.348856208504843
210,1.348840617554252
211,1.3488254041303924
212,1.3488105590496198
213,1.3487960733529492
214,1.3487819383005175
215,1.3487681453661922
216,1.3487546862323097
217,1.3487415527845434
218,1.3487287371069012
219,1.348716231476844
220,1.34870402836053
221,1.3486921204081734
222,1.348680500449512
223,1.3486691614894086
224,1.3486580967035273
225,1.3486472994341545
226,1.3486367631860916
227,1.3486264816226665
228,1.3486164485618426
229,1.3486066579724179
230,1.3485971039703244
231,1.3485877808150128
232,1.3485786829059352
233,1.348569804779101
234,1.3485611411037366
235,1.3485526866790103
236,1.3485444364308479
237,1.3485363854088244
238,1.3485285287831332
239,1.3485208618416253
240,1.3485133799869333
241,1.3485060787336538
242,1.3484989537056
243,1.3484920006331362
244,1.348485215350565
245,1.3484785937935735
246,1.3484721319967674
247,1.3484658260912343
248,1.3484596723021924
249,1.3484536669466811
250,1.348447806431321
251,1.3484420872501142
252,1.348436505982316
253,1.3484310592903452
254,1.348425743917753
255,1.3484205566872363
256,1.3484154944987092
257,1.3484105543274099
258,1.3484057332220674
259,1.3484010283030994
260,1.348396436760865
261,1.3483919558539572
262,1.3483875829075362
263,1.3483833153117053
264,1.3483791505199232
265,1.348375086047458
266,1.348371119469887
267,1.3483672484216136
268,1.34836347059444
269,1.3483597837361654
270,1.3483561856492203
271,1.348352674189338
272,1.3483492472642475
273,1.3483459028324152
274,1.3483426389018027
275,1.3483394535286628
276,1.3483363448163637
277,1.3483333109142392
278,1.3483303500164747
279,1.3483274603610034
280,1.3483246402284585
281,1.3483218879411176
282,1.3483192018619001
283,1.3483165803933668
284,1.3483140219767724
285,1.3483115250911082
286,1.3483090882521915
287,1.3483067100117658
288,1.348304388956638
289,1.3483021237078077
290,1.3482999129196558
291,1.3482977552791153
292,1.3482956495048932
293,1.3482935943466932
294,1.3482915885844635
295,1.348289631027653
296,1.348287720514518
297,1.3482858559113957
298,1.3482840361120403
299,1.3482822600369504
300,1.3482805266327147
301,1.3482788348713934
302,1.3482771837498873
303,1.3482755722893374
304,1.3482739995345403
305,1.3482724645533701
306,1.348270966436223
307,1.3482695042954678
308,1.3482680772649112
309,1.3482666844992832
310,1.3482653251737284
311,1.3482639984833062
312,1.348262703642514
313,1.3482614398848112
314,1.3482602064621663
315,1.348259002644601
316,1.348257827719757
317,1.348256680992468
318,1.3482555617843421
319,1.3482544694333598
320,1.348253403293473
321,1.348252362734217
322,1.3482513471403412
323,1.3482503559114323
324,1.3482493884615576
325,1.3482484442189158
326,1.348247522625499
327,1.3482466231367476
328,1.348245745221234
329,1.3482448883603433
330,1.348244052047964
331,1.3482432357901803
332,1.3482424391049854
333,1.348241661521985
334,1.3482409025821251
335,1.3482401618374065
336,1.3482394388506318
337,1.3482387331951315
338,1.3482380444545177
339,1.3482373722224317
340,1.3482367161023028
341,1.348236075707111
342,1.3482354506591596
343,1.3482348405898434
344,1.348234245139435
345,1.3482336639568695
346,1.3482330966995306
347,1.3482325430330535
348,1.34823200263112
349,1.3482314751752695
350,1.3482309603547007
351,1.348230457866098
352,1.3482299674134404
353,1.348229488707834
354,1.348229021467334
355,1.3482285654167798
356,1.348228120287628
357,1.3482276858177993
358,1.3482272617515163
359,1.348226847839153
360,1.3482264438370883
361,1.3482260495075615
362,1.348225664618526
363,1.3482252889435173
364,1.348224922261516
365,1.3482245643568165
366,1.3482242150188983
367,1.3482238740423027
368,1.348223541226508
369,1.348223216375815
370,1.348222899299226
371,1.3482225898103326
372,1.3482222877272114
373,1.348221992872301
374,1.3482217050723162
375,1.3482214241581334
376,1.3482211499646848
377,1.348220882330878
378,1.3482206210994827
379,1.348220366117051
380,1.3482201172338177
381,1.348219874303613
382,1.3482196371837847
383,1.3482194057350971
384,1.3482191798216645
385,1.348218959310861
386,1.3482187440732458
387,1.3482185339824873
388,1.3482183289152845
389,1.348218128751298
390,1.3482179333730757
391,1.348217742665986
392,1.3482175565181487
393,1.3482173748203672
394,1.3482171974660666
395,1.3482170243512304
396,1.3482168553743379
397,1.3482166904363022
398,1.348216529440414
399,1.3482163722922884
400,1.3482162188998013
401,1.3482160691730387
402,1.3482159230242434
403,1.3482157803677657
404,1.348215641120008
405,1.3482155051993758
406,1.3482153725262365
407,1.3482152430228642
408,1.348215116613396
409,1.3482149932237895
410,1.348214872781779
411,1.348214755216828
412,1.348214640460093
413,1.348214528444383
414,1.348214419104114
415,1.348214312375276
416,1.3482142081953932
417,1.3482141065034878
418,1.3482140072400428
419,1.3482139103469644
420,1.3482138157675598
421,1.3482137234464848
422,1.3482136333297285
423,1.3482135453645694
424,1.348213459499552
425,1.3482133756844534
426,1.348213293870255
427,1.3482132140091077
428,1.3482131360543133
429,1.3482130599602906
430,1.3482129856825509
431,1.348212913177671
432,1.3482128424032656
433,1.3482127733179672
434,1.348212705881397
435,1.3482126400541463
436,1.3482125757977461
437,1.348212513074651
438,1.3482124518482126
439,1.348212392082664
440,1.3482123337430876
441,1.348212276795411
442,1.3482122212063672
443,1.3482121669434952
444,1.3482121139751047
445,1.3482120622702651
446,1.348212011798787
447,1.3482119625312068
448,1.3482119144387568
449,1.3482118674933676
450,1.3482118216676362
451,1.3482117769348165
452,1.348211733268803
453,1.3482116906441133
454,1.3482116490358762
455,1.348211608419816
456,1.348211568772235
457,1.3482115300700035
458,1.348211492290548
459,1.3482114554118332
460,1.3482114194123471
461,1.3482113842710985
462,1.3482113499675936
463,1.3482113164818323
464,1.348211283794289
465,1.348211251885906
466,1.348211220738086
467,1.348211190332669
468,1.3482111606519347
469,1.348211131678585
470,1.348211103395734
471,1.3482110757869012
472,1.3482110488359984
473,1.348211022527325
